#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
1000,-227297.49738336296,261.704788736035,125.0
2000,-224697.5642778942,296.5017091471207,125.0
3000,-224347.61945367546,295.50188176469476,125.0
4000,-225913.99933648796,303.79993929393004,125.0
5000,-225876.16828180046,301.8100059856243,125.0
6000,-228117.03710534272,305.79956172171865,120.94489338574915
7000,-228822.6808140023,306.6142524424404,119.13534336271182
8000,-228867.04573930753,305.76822636527163,119.02850392768258
9000,-230296.36640261556,304.4582026277755,116.53721550421535
10000,-230637.8586314693,299.3655661470585,115.07960784748143
11000,-231057.06550029316,303.30086420080505,114.25342287419342
12000,-231882.9411495371,304.90703638357934,112.91963193799052
13000,-231403.93251711573,298.4474597859217,110.84276240971548
14000,-232414.29682324524,305.24441916149595,109.31102509114291
15000,-233398.64420714637,300.9276227341872,108.20845174696687
