#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
1000,-235269.07610737195,257.5746753854316,125.0
2000,-232502.27532612195,292.57088179283227,125.0
3000,-231897.91106830945,299.4273059214559,125.0
4000,-232645.36712299695,305.76865284920865,125.0
5000,-232664.46673237195,298.90556000354337,125.0
6000,-235526.68954109098,302.9270871263812,119.10660223220465
7000,-235753.2080453327,298.8134950705525,116.498777726665
8000,-237260.57928779686,300.0675725910941,113.29644931713095
9000,-238373.21583288384,301.5047830750115,110.87880659208145
10000,-238565.481767199,300.5614161484204,109.95230779575633
11000,-239028.87761747965,296.80118644626873,108.5344369099705
12000,-239864.41107060725,300.19613030816924,107.73044370484217
13000,-239995.14510629012,300.6549542887052,106.2496518804068
14000,-239791.98589104868,296.3370983856483,104.73736901015093
15000,-240798.32501582708,298.58869894016186,103.90321789505259
