#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
1000,-32660.69872936899,266.8173458168668,27.0
2000,-32345.610411497895,292.7215386123936,27.0
3000,-32607.61846813852,307.4471661965605,27.0
4000,-32926.141173216645,307.4658246255252,27.0
5000,-33322.53338513071,311.2070662323899,27.0
6000,-33427.12072446788,290.46227817820323,26.9550457598217
7000,-33635.051562514025,306.0980603650032,26.916018057898516
8000,-34014.40132776067,296.55934498362603,26.9144116590859
9000,-33930.007481562105,303.8585686867495,26.834454173966098
10000,-33871.93194210839,298.5014022833098,26.67750427740834
11000,-34262.88140637746,291.60994893126787,26.60910005032234
12000,-34136.124716135455,307.3238647287449,26.620240638864697
13000,-33978.584065935676,303.5760279759402,26.603773472554952
14000,-34318.56506501927,302.5193964694801,26.60203401047251
15000,-33708.936627275514,298.40164735303455,26.521121095416337
