#"Step","Potential Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)"
1000,-46415.809734476745,269.24718823119207,27.0
2000,-46399.9229394328,304.16239729706376,27.0
3000,-46670.106945170104,315.29753436535935,27.0
4000,-46744.59428037518,302.69614317127974,27.0
5000,-47049.91151059979,290.87549263666585,27.0
6000,-47366.923972024524,288.43511949522014,26.944561958719255
7000,-47768.956151631515,294.5191636092036,26.812721659915034
8000,-47821.282830534765,291.4588157869713,26.78916041545213
9000,-47602.03143552158,300.69650085755495,26.77250393513364
10000,-47525.09089823748,303.49600295406134,26.622624973473396
11000,-47634.40890198712,305.2010430569017,26.36155648709822
12000,-47734.176201454684,299.99314387014533,26.291882359001196
13000,-47895.92560435574,296.2202618924586,26.210184052095094
14000,-47839.77404587672,291.98989396382353,26.194440242768582
15000,-48034.412314576664,308.9445524307125,26.15505610873111
